"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"J2_14SC2_1",-0.0346190329066989,-0.0250360749795653,-0.0382357758750668,-0.0188157117782669,0.0123914621397221,0.0971769250225473,0.00121482136447602,0.0133653049830691,-0.0332992735587301,-0.045336104427639,-0.00984658198205108,-0.0270548498864927,-0.0315301686582687,-0.0536231011312499,-0.0244313432591195,0.0745104871934318,-0.0572311765621717,0.101680825094802
"J2_14SC2_2",-0.0799439471956469,-0.124864195842024,-0.0110626594862104,-0.0621563020188546,0.195607043984652,0.235183207861611,-0.0525729833722123,-0.0784665083057939,-0.0408105805412386,-0.0160190685670708,-0.0680690702667617,-0.100438501975407,-0.0656301066174973,0.162723427391064,-0.0815741180712815,0.11693033923773,-0.164987987825845,-0.155117013689869
"J2_14SC2_3",-0.0522090375512196,-0.150008001037021,0.222066754311702,-0.0551789870390063,0.161577948480317,-0.061601573348729,-0.0288474921748471,-0.0376844341083618,-0.03218967694226,-0.0411660614917657,-0.0505531418481439,0.170351374641897,-0.0739516560684962,-0.079700938611792,0.318394355137616,-0.159158298466863,-0.0203180553298687,-0.00768552736479197
"J2_14SC2_4",-0.046807443507635,-0.0812830666947172,0.135544134933232,-0.0276542176258187,0.0712704707170672,-0.139158777326446,-0.0391040172110015,-0.0470055973370387,0.000779187215656397,-0.0551043874229379,-0.0509494732373555,-0.0370767571181531,-0.0376042284149355,-0.0549010323200033,-0.0180447385637579,-0.130068629169074,0.0652895367055897,-0.0869025927009966
"J2_14SC3_1",-0.0655169820701461,0.203497006892835,-0.114576351012891,-0.0328565896681088,-0.163908602712994,-0.065175651615843,-0.0324415642300371,0.31448676075798,-0.021717843088951,-0.0406564054427137,-0.0350035529613588,-0.0616553172956814,-0.0297622124843138,-0.0412423930073534,-0.042284249911321,0.0248444484690756,-0.00578948207421748,0.0455738094021941
"J2_14SC3_2",0.242340423012811,-0.0931072157547642,0.0929511466094773,-0.032398994689282,0.0881989512654289,0.0263844255424622,-0.0237177554491737,-0.0502312318415954,-0.0272362730517568,-0.0286446526685313,-0.0573141955196864,0.317161696525777,-0.0546767181957012,-0.0777525864504986,-0.0578160093211773,-0.00137666242019671,-0.0508151098420066,-0.0639438251190343
"J2_14SC3_3",-0.0729139724583579,-0.0948270965493299,0.0794487298530502,-0.0491476159408488,0.122078381724476,0.114095838359402,-0.0143271326207667,0.442279871506884,-0.0461146902353831,-0.00187770539423351,-0.0606756076371898,-0.068757045201601,-0.0728795605658383,-0.0768409082227582,0.340206233441103,-0.00171510337920174,-0.0971642290130651,-0.166315915507253
"J2_14SC3_4",-0.0640165807155566,0.16759838906033,-0.149034351319778,-0.049843748278223,-0.144479591217632,0.0353022015151398,-0.00795134305964111,-0.0401421877038583,-0.0340195572847682,-0.0367576353039849,0.232748728897154,-0.0740509100592479,-0.0428521765567136,-0.0593942194258536,-0.0458171991556657,0.116316580134515,-0.0416318198637856,-0.0279027564602722
"J2_14SN1_1",-0.0639555402088761,0.121896691669119,-0.0144707323363902,-0.0511926901248521,-0.143175018922578,-0.17594939295415,-0.0422854795085504,-0.0492335535913711,-0.0268635987813935,-0.0185993628954419,-0.0606421343193627,-0.0649951104937375,-0.0230360595174742,0.181010481420661,-0.051466921797643,-0.0759992099752728,0.0458139983414458,-0.0750391785021671
"J2_14SN1_2",-0.0570958603607266,-0.0809777519261259,0.0240450965314221,-0.0381133220081112,0.116273205087534,0.103622105897718,-0.0403580181714718,-0.0496065635424418,0.552773015294596,-0.0436414851085179,-0.0443864684310383,-0.0504038959476843,0.265887669058137,-0.0573251283581356,-0.0450081364164875,0.0130395486343021,-0.095161503923623,-0.164498213928544
