GeneID	Annotation_GO_ID
LOC111099580	unknown
LOC111099580	unknown
LOC111099582	unknown
LOC111099583	unknown
LOC111099583	unknown
LOC111099583	unknown
LOC111099584	GO:0009058;GO:0016491;GO:0034641;GO:0051186
LOC111099585	GO:0005634;GO:0006259;GO:0006464;GO:0006950;GO:0008233;GO:0032991
LOC111099586	GO:0003674
LOC111099589	unknown
LOC111099590	unknown
LOC111099591	unknown
LOC111099591	unknown
LOC111099592	GO:0003674;GO:0005576;GO:0008150
LOC111099592	GO:0003674;GO:0005576;GO:0008150
LOC111099592	GO:0003674;GO:0005576;GO:0008150
LOC111099592	GO:0003674;GO:0005576;GO:0008150
LOC111099595	unknown
LOC111099597	GO:0009058;GO:0034641;GO:0065003
LOC111099601	GO:0043167
LOC111099601	GO:0043167
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099603	unknown
LOC111099604	unknown
LOC111099607	unknown
LOC111099610	GO:0003674
LOC111099610	GO:0003674
LOC111099610	GO:0003674
LOC111099610	GO:0003674
LOC111099610	GO:0003674
LOC111099610	GO:0003674
LOC111099611	unknown
LOC111099613	unknown
LOC111099613	unknown
LOC111099615	unknown
LOC111099615	unknown
LOC111099615	unknown
LOC111099615	unknown
LOC111099615	unknown
LOC111099615	unknown
LOC111099617	GO:0007034
LOC111099620	GO:0006464;GO:0006520;GO:0016791
LOC111099620	GO:0006464;GO:0006520;GO:0016791
LOC111099621	unknown
LOC111099622	GO:0016491;GO:0043167
LOC111099623	GO:0006399;GO:0006412;GO:0006520;GO:0006790;GO:0016874;GO:0043167
LOC111099624	unknown
LOC111099626	unknown
LOC111099627	unknown
LOC111099628	unknown
LOC111099630	GO:0006464;GO:0006810
LOC111099631	unknown
LOC111099631	unknown
LOC111099632	unknown
LOC111099632	unknown
LOC111099634	GO:0003674
LOC111099635	unknown
LOC111099636	unknown
LOC111099638	unknown
LOC111099641	unknown
LOC111099642	unknown
LOC111099642	unknown
LOC111099643	GO:0003674
LOC111099646	unknown
LOC111099646	unknown
LOC111099648	unknown
LOC111099648	unknown
LOC111099649	unknown
LOC111099650	GO:0005575;GO:0006464;GO:0009058;GO:0016757
LOC111099650	GO:0005575;GO:0006464;GO:0009058;GO:0016757
LOC111099651	unknown
LOC111099655	unknown
LOC111099655	GO:0016491
LOC111099655	unknown
LOC111099656	GO:0003674
